Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/30,UTTAR PRADESH,PRAYAGRAJ,0,454.28,0,17.0897322
2020/01/30,UTTAR PRADESH,BAREILLY,0,516.89,0,26.65052013
2020/01/30,UTTAR PRADESH,SHRAWASTI,0.09,332.44,0.89,25.95353453
2020/01/30,UTTAR PRADESH,SULTANPUR,0,536.73,0,23.82535422
2020/01/30,UTTAR PRADESH,GONDA,0.14,521.02,0.93,25.27292511
2020/01/30,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,0,137.72,0,19.07453344
2020/01/30,UTTAR PRADESH,KANSIRAM NAGAR,0.18,218.07,1.62,21.68316874
2020/01/30,UTTAR PRADESH,MAHARAJGANJ,0,378.14,0,25.53393435
2020/01/30,UTTAR PRADESH,MAINPURI,0.03,299.96,0.25,21.74765354
2020/01/30,UTTAR PRADESH,VARANASI,0,126.24,0,15.98769507
2020/01/30,UTTAR PRADESH,AURAIYA,1.02,232.67,6.69,22.7160922
2020/01/29,UTTAR PRADESH,FARRUKHABAD,0.07,193.06,0.3,17.28620239
2020/01/29,UTTAR PRADESH,LUCKNOW,0.48,305.76,3.49,23.5858908
2020/01/29,UTTAR PRADESH,KHERI,0.42,992.09,3.05,25.13504362
2020/01/29,UTTAR PRADESH,CHANDAULI,0,218.88,0,16.96428196
2020/01/29,UTTAR PRADESH,AMBEDKAR NAGAR,0,242.55,0,20.53187301
2020/01/29,UTTAR PRADESH,BUDAUN,0.5,505.8,3.81,19.45676483
2020/01/29,UTTAR PRADESH,BALRAMPUR,0.09,396.34,0.89,23.32581223
2020/01/29,UTTAR PRADESH,BASTI,0.01,304.21,0.07,20.66816702
2020/01/29,UTTAR PRADESH,RAMPUR,1.48,419.01,9.94,31.75678121
2020/01/29,UTTAR PRADESH,MIRZAPUR,0.03,509.35,0.28,22.15653834
2020/01/29,UTTAR PRADESH,JYOTIBA PHULE NAGAR,0.51,260.96,4.46,22.3852236
2020/01/29,UTTAR PRADESH,LALITPUR,0.02,474.07,0.15,18.43702741
2020/01/29,UTTAR PRADESH,MAHAMAYA NAGAR,0,223.83,0,24.7522188
2020/01/29,UTTAR PRADESH,MATHURA,0,258.98,0,15.10019921
2020/01/29,UTTAR PRADESH,MAHOBA,0,301.01,0,20.56939223
2020/01/29,UTTAR PRADESH,CHITRAKOOT,0.01,246.49,0.05,15.69619888
