Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/02/02,GOA,NORTH GOA,0,102.55,0,11.73217034
2020/02/01,GOA,SOUTH GOA,0,142.75,0,14.05397182
2020/02/01,GOA,NORTH GOA,0,102.93,0,11.7746272
2020/03/31,GOA,SOUTH GOA,0,137.28,0,13.51467382
2020/03/31,GOA,NORTH GOA,0,98.12,0,11.2243564
2020/03/30,GOA,SOUTH GOA,0,137.31,0,13.51767425
2020/03/30,GOA,NORTH GOA,0,98.14,0,11.22767172
2020/03/29,GOA,SOUTH GOA,0,137.32,0,13.51903885
2020/03/29,GOA,NORTH GOA,0,98.19,0,11.2330017
2020/03/28,GOA,SOUTH GOA,0,137.37,0,13.52401531
2020/03/28,GOA,NORTH GOA,0,98.23,0,11.23768203
2020/03/27,GOA,SOUTH GOA,0,137.41,0,13.52773459
2020/03/27,GOA,NORTH GOA,0,98.27,0,11.24205427
2020/03/26,GOA,SOUTH GOA,0,137.49,0,13.53603875
2020/03/26,GOA,NORTH GOA,0,98.29,0,11.24412573
2020/03/25,GOA,SOUTH GOA,0,137.55,0,13.54150196
2020/03/25,GOA,NORTH GOA,0,98.39,0,11.25582085
2020/03/24,GOA,SOUTH GOA,0,137.47,0,13.53388947
2020/03/24,GOA,NORTH GOA,0,97.95,0,11.20548278
2020/03/23,GOA,SOUTH GOA,0,137.48,0,13.5350522
2020/03/23,GOA,NORTH GOA,0,97.88,0,11.19727735
2020/03/22,GOA,SOUTH GOA,0,137.54,0,13.54094197
2020/03/22,GOA,NORTH GOA,0,97.91,0,11.20057028
2020/03/21,GOA,SOUTH GOA,0,137.6,0,13.54629433
2020/03/21,GOA,NORTH GOA,0,97.94,0,11.20369245
2020/03/20,GOA,SOUTH GOA,0,137.66,0,13.55230262
2020/03/20,GOA,NORTH GOA,0,97.94,0,11.20369245
2020/03/19,GOA,SOUTH GOA,0,137.68,0,13.55407718
2020/03/19,GOA,NORTH GOA,0,97.94,0,11.20457524
2020/03/18,GOA,SOUTH GOA,0,137.75,0,13.56132333
2020/03/18,GOA,NORTH GOA,0,97.99,0,11.2095232
2020/03/17,GOA,SOUTH GOA,0,137.81,0,13.5676464
2020/03/17,GOA,NORTH GOA,0,98,0,11.21101636
2020/03/16,GOA,SOUTH GOA,0,137.92,0,13.57825329
2020/03/16,GOA,NORTH GOA,0,98.02,0,11.21320382
2020/03/15,GOA,SOUTH GOA,0,137.97,0,13.58341303
2020/03/15,GOA,NORTH GOA,0,98.06,0,11.21788876
2020/03/14,GOA,SOUTH GOA,0,138.07,0,13.59270247
2020/03/14,GOA,NORTH GOA,0,98.09,0,11.22185221
2020/03/13,GOA,SOUTH GOA,0,138.12,0,13.59807114
2020/03/13,GOA,NORTH GOA,0,98.13,0,11.22586094
2020/03/12,GOA,SOUTH GOA,0,138.17,0,13.6029716
2020/03/12,GOA,NORTH GOA,0,98.17,0,11.23035678
2020/03/11,GOA,SOUTH GOA,0,138.24,0,13.60993658
2020/03/11,GOA,NORTH GOA,0,98.18,0,11.23177445
2020/03/10,GOA,SOUTH GOA,0,138.33,0,13.61814636
2020/03/10,GOA,NORTH GOA,0,98.21,0,11.23454595
2020/03/09,GOA,SOUTH GOA,0,138.36,0,13.62095889
2020/03/09,GOA,NORTH GOA,0,98.21,0,11.23479306
2020/03/08,GOA,SOUTH GOA,0,138.45,0,13.63013376
2020/03/08,GOA,NORTH GOA,0,98.21,0,11.23479306
